,Word,Frequency
0,Udemy,16243
1,money,14746
2,refund,11385
3,review,9977
4,time,8788
5,Original,6882
6,customer,6512
7,account,6168
8,service,5970
9,support,5702
10,work,5304
11,back,5260
12,free,4966
13,email,4378
14,good,4316
15,price,4277
16,company,4273
17,certificate,3903
18,want,3874
19,paid,3842
20,online,3768
21,days,3749
22,could,3708
23,pay,3648
24,videos,3628
25,learning,3556
26,take,3551
27,without,3507
28,got,3402
29,website,3385
30,people,3334
31,still,3332
32,edX,3300
33,help,3289
34,Coursera,3276
35,You,3196
36,contact,3090
37,cannot,3074
38,day,3023
39,make,2997
40,purchased,2960
41,cancel,2958
42,access,2956
43,30,2903
44,times,2885
45,never,2871
46,weeks,2858
47,tried,2818
48,1,2813
49,use,2750
50,experience,2727
51,told,2723
52,nothing,2721
53,signed,2699
54,content,2663
55,another,2635
56,start,2634
57,platform,2621
58,said,2619
59,also,2614
60,credit,2608
61,away,2592
62,bought,2578
63,So,2577
64,gift,2573
65,instructor,2534
66,subscription,2523
67,since,2458
68,went,2446
69,recommend,2432
70,issue,2421
71,No,2390
72,cancelled,2317
73,charged,2315
74,see,2299
75,think,2292
76,give,2289
77,next,2284
78,My,2281
79,find,2275
80,scam,2268
81,3,2261
82,card,2242
83,better,2238
84,video,2226
85,well,2156
86,sent,2145
87,knowledge,2114
88,going,2104
89,full,2077
90,spent,2062
91,information,2053
92,business,2051
93,took,2046
94,When,2042
95,need,2037
96,found,2030
97,bad,2002
98,ever,1990
99,learn,1979
100,go,1959
101,getting,1939
102,NOT,1920
103,great,1906
104,In,1897
105,trust,1883
106,made,1881
107,end,1880
108,month,1870
109,quality,1868
110,reply,1864
111,used,1862
112,however,1852
113,charge,1834
114,trial,1817
115,99,1803
116,know,1800
117,students,1783
118,After,1771
119,phone,1740
120,page,1724
121,avoid,1721
122,taking,1716
123,later,1702
124,taken,1702
125,contacted,1697
126,via,1695
127,real,1695
128,And,1693
129,received,1690
130,emails,1685
131,anything,1684
132,person,1681
133,within,1677
134,already,1671
135,udemy,1670
136,completed,1653
137,try,1653
138,able,1648
139,5,1640
140,put,1639
141,site,1635
142,reason,1617
143,A,1611
144,everything,1597
145,purchase,1581
146,education,1568
147,cart,1568
148,started,1560
149,number,1553
150,waiting,1543
151,buy,1541
152,care,1538
153,10,1536
154,problem,1534
155,EdX,1522
156,offer,1519
157,fraud,1519
158,policy,1519
159,option,1511
160,complete,1494
161,thing,1488
162,every,1484
163,assignments,1472
164,ago,1471
165,link,1462
166,classes,1456
167,UDEMY,1439
168,taught,1434
169,absolutely,1433
170,waste,1433
171,credits,1431
172,wasted,1431
173,often,1426
174,right,1423
175,Their,1414
176,trying,1411
177,material,1409
178,lost,1407
179,enrolled,1404
180,life,1401
181,Read,1395
182,request,1387
183,answer,1385
184,YouTube,1377
185,asked,1374
186,though,1361
187,But,1352
188,chat,1352
189,payment,1342
190,tell,1339
191,problems,1335
192,needed,1334
193,seems,1321
194,bank,1311
195,become,1311
196,given,1309
197,last,1304
198,reviews,1300
199,professional,1286
200,say,1269
201,case,1265
202,paying,1265
203,long,1264
204,decided,1258
205,requested,1242
206,fine,1242
207,asking,1237
208,months,1236
209,student,1232
210,makes,1227
211,Even,1222
212,learned,1222
213,correct,1221
214,At,1220
215,NO,1214
216,looking,1210
217,using,1206
218,However,1204
219,instructors,1201
220,stay,1185
221,web,1185
222,instead,1180
223,best,1176
224,Contacted,1175
225,Very,1174
226,March,1171
227,Google,1168
228,date,1166
229,send,1166
230,top,1149
231,week,1141
232,available,1138
233,anyone,1131
234,everyone,1130
235,others,1124
236,pricing,1120
237,point,1120
238,teachers,1119
239,response,1117
240,sign,1116
241,switch,1112
242,minutes,1111
243,15,1110
244,Bright,1110
245,Waste,1110
246,7,1102
247,period,1097
248,read,1095
249,world,1092
250,What,1084
251,least,1084
252,almost,1077
253,Also,1073
254,receive,1072
255,process,1067
256,closed,1066
257,gone,1062
258,little,1057
259,minute,1057
260,class,1056
261,hours,1049
262,6,1047
263,happy,1034
264,explanation,1034
265,personal,1030
266,questions,1029
267,self,1020
268,today,1020
269,thought,1018
270,look,1010
271,second,1006
272,useless,996
273,outdated,993
274,two,993
275,delivered,987
276,saying,985
277,consumer,985
278,completely,984
279,portion,978
280,something,978
281,final,976
282,four,971
283,play,967
284,dollars,966
285,services,965
286,different,962
287,Be,961
288,either,960
289,advertised,960
290,4,956
291,program,956
292,19,949
293,warning,944
294,TO,942
295,matter,933
296,helped,932
297,change,930
298,significant,928
299,action,926
300,looked,924
301,stars,922
302,keep,916
303,prices,913
304,Worst,912
305,several,910
306,says,900
307,due,898
308,provided,898
309,study,898
310,far,895
311,yet,888
312,login,888
313,feel,887
314,seem,884
315,removed,882
316,exercises,878
317,working,871
318,Don,868
319,info,866
320,Instead,864
321,hard,863
322,offered,861
323,print,860
324,let,856
325,someone,852
326,50,852
327,details,850
328,team,848
329,claim,846
330,wanted,845
331,late,838
332,finish,837
333,else,837
334,subject,835
335,terms,825
336,future,824
337,multiple,821
338,consider,815
