,Word,Frequency
0,Udemy,1944
1,money,1766
2,time,1281
3,refund,1118
4,work,954
5,customer,930
6,support,902
7,review,891
8,edX,729
9,service,714
10,account,699
11,good,690
12,free,667
13,videos,666
14,learning,661
15,certificate,617
16,want,600
17,Original,595
18,pay,577
19,could,576
20,back,569
21,help,541
22,take,529
23,platform,529
24,content,524
25,email,513
26,weeks,507
27,access,506
28,company,492
29,online,484
30,You,463
31,still,456
32,days,453
33,paid,452
34,never,447
35,price,443
36,nothing,437
37,told,437
38,learn,427
39,people,418
40,end,415
41,video,413
42,website,409
43,need,397
44,contact,394
45,without,390
46,make,390
47,see,389
48,experience,386
49,signed,382
50,times,380
51,use,374
52,cannot,371
53,EdX,365
54,assignments,365
55,recommend,363
56,great,363
57,start,361
58,issue,360
59,better,358
60,another,357
61,got,355
62,problem,351
63,knowledge,347
64,YouTube,346
65,So,345
66,1,337
67,day,334
68,since,328
69,No,323
70,next,321
71,also,318
72,going,318
73,cancel,316
74,tried,316
75,away,314
76,30,314
77,gift,310
78,bad,309
79,business,308
80,anything,306
81,education,302
82,In,301
83,find,299
84,well,299
85,able,298
86,found,293
87,instructor,293
88,best,292
89,phone,292
90,completed,291
91,think,289
92,bought,285
93,said,284
94,however,282
95,quality,279
96,purchased,279
97,give,276
98,cancelled,274
99,scam,274
100,started,272
101,students,272
102,go,269
103,material,269
104,3,267
105,taken,265
106,used,262
107,spent,261
108,instructors,259
109,getting,259
110,lost,256
111,credits,253
112,My,250
113,learned,249
114,ago,248
115,look,248
116,After,247
117,emails,242
118,complete,241
119,taught,240
120,When,240
121,sent,237
122,took,237
123,avoid,236
124,option,236
125,different,234
126,know,234
127,information,233
128,asking,231
129,Lorem,230
130,went,230
131,Ipsum,230
132,trying,230
133,top,228
134,real,228
135,And,225
136,5,224
137,answer,224
138,waiting,223
139,problems,222
140,reviews,221
141,made,221
142,seems,221
143,Coursera,221
144,professional,220
145,often,218
146,issues,218
147,though,217
148,ever,216
149,student,215
150,long,214
151,fine,211
152,looking,210
153,everything,209
154,thing,209
155,receive,208
156,point,208
157,absolutely,208
158,paying,207
159,provided,207
160,taking,206
161,via,206
162,Even,206
163,world,205
164,reply,205
165,Very,204
166,given,204
167,within,202
168,needed,201
169,happy,201
170,final,201
171,makes,201
172,little,199
173,class,196
174,offer,196
175,case,196
176,reason,196
177,put,195
178,trust,195
179,minute,194
180,stuff,194
181,waste,194
182,life,192
183,Their,192
184,All,190
185,switch,189
186,words,188
187,care,188
188,already,186
189,every,185
190,prices,183
191,everyone,183
192,At,182
193,due,182
194,classes,182
195,helped,181
196,contacted,180
197,available,180
198,wasted,180
199,page,178
200,charged,178
201,But,175
202,date,175
203,correct,175
204,become,174
205,credit,174
206,edx,173
207,6,171
208,minutes,171
209,person,170
210,months,170
211,link,170
212,anyone,169
213,professor,168
214,currently,168
215,site,167
216,future,166
217,right,165
218,NOT,165
219,try,164
220,Science,163
221,fraud,162
222,Bright,162
223,longer,162
224,exercises,162
225,subscription,161
226,tell,161
227,payment,160
228,Google,159
229,UDEMY,159
230,later,159
231,program,159
232,making,159
233,seen,159
234,four,159
235,least,158
236,cart,158
237,full,157
238,stay,157
239,several,157
240,received,156
241,blocked,156
242,personal,156
243,us,156
244,multiple,155
245,delivered,155
246,something,155
247,always,155
248,self,155
249,study,155
250,wrong,154
251,trial,153
252,test,153
253,udemy,152
254,enrolled,152
255,Also,152
256,others,152
257,hard,151
258,teachers,151
259,However,150
260,asked,149
261,notes,149
262,last,149
263,example,149
264,universities,149
265,say,148
266,15,148
267,ones,147
268,English,146
269,either,146
270,format,146
271,looked,145
272,Harvard,145
273,subject,145
274,seem,145
275,feel,145
276,decided,145
277,extension,144
278,discussion,144
279,peers,144
280,Certificate,144
281,read,144
282,elsewhere,142
283,assessed,141
284,questions,141
285,assignment,141
286,charge,141
287,technical,141
288,buy,141
289,NO,141
290,First,141
291,saying,141
292,non,141
293,late,140
294,pricing,140
295,stuck,139
296,things,138
297,unless,137
298,explanation,137
299,sign,137
300,useless,137
301,Edx,136
302,grades,135
303,works,135
304,play,135
305,user,134
306,Please,134
307,month,134
308,Waste,134
309,terms,134
310,week,134
311,annoying,134
312,love,134
313,using,134
314,wrote,133
315,99,133
316,gives,133
317,process,132
318,interesting,132
319,purchase,131
320,data,131
321,number,131
322,Course,131
323,warning,129
324,outdated,129
325,closed,129
326,Learning,129
327,follow,129
328,kind,128
329,web,128
330,10,128
331,March,128
332,allow,128
333,excellent,128
334,worth,127
335,skills,127
336,completely,127
337,code,127
338,services,126
339,today,126
340,A,126
341,He,123
342,send,123
343,200,123
344,working,123
345,requested,123
346,Be,123
347,pretty,122
348,fact,122
349,keep,122
350,offered,121
351,matter,121
352,useful,121
353,response,120
354,certain,120
355,Many,120
356,contents,120
357,staff,120
358,training,120
359,totally,120
360,card,120
361,internet,119
362,high,118
363,exam,118
364,gone,117
365,second,117
366,options,116
367,overall,116
368,throughout,116
369,submit,116
370,Contacted,115
371,yet,115
372,consumer,115
373,instead,115
374,quizzes,114
375,TO,114
376,far,114
377,amount,113
378,leave,113
379,dollars,113
380,turned,113
381,June,112
382,career,112
383,sure,112
384,require,112
385,probably,112
386,print,111
387,awful,111
388,7,111
389,Worst,110
390,paper,110
391,stars,110
392,sense,110
393,audit,110
394,unavailable,110
395,offering,110
396,twice,109
397,responded,109
398,show,109
399,Dr,109
400,lectures,108
401,sticky,108
402,Instead,108
403,modules,108
404,generate,108
405,damage,108
406,Second,108
407,management,107
408,concept,107
409,almost,107
410,looks,106
411,details,106
412,fair,106
413,consider,106
414,Data,106
415,Speaking,106
416,whole,106
417,costs,106
418,significant,106
419,recently,105
420,portion,105
421,50,105
422,possible,104
423,digital,104
424,accessing,104
425,Thanks,102
426,giving,102
427,explained,102
428,losing,102
429,teacher,101
430,opinion,101
431,alternatives,101
432,practices,101
433,legal,101
434,advertised,101
435,thought,101
436,system,100
437,Not,100
438,personally,99
439,dictionary,99
440,stupid,99
441,finish,99
442,4,99
443,part,99
444,Terrible,99
445,bit,98
446,increase,97
447,Never,97
448,2020I,97
449,What,97
450,tutor,97
451,platforms,96
452,bank,96
453,hundred,96
454,active,96
455,poor,96
456,17,95
457,claim,95
458,actually,95
459,IS,95
460,EDX,95
461,team,95
462,clear,95
463,copying,94
464,Read,94
465,points,94
466,tutorials,94
467,main,94
468,action,94
469,six,93
470,period,93
471,90,93
472,amazing,93
473,set,93
474,nonsense,93
475,2021The,92
476,injected,92
477,Internet,92
478,humour,92
479,angry,92
480,encountered,92
481,Python,92
482,interest,91
483,Introduction,91
484,else,91
485,ID,91
486,create,91
487,says,91
488,disappointment,90
489,easily,90
490,Fraud,90
491,obviously,90
492,praise,89
493,Indeed,89
494,hype,89
495,mediocre,89
496,grading,89
497,landing,89
498,designer,89
499,takes,89
500,Initially,89
501,For,89
502,chat,89
503,diploma,88
504,actual,88
505,grade,88
506,chance,87
507,Of,87
508,helpful,87
509,whatever,87
510,blog,87
511,locked,87
512,someone,86
513,understand,86
514,request,86
515,change,86
516,watch,86
517,plan,86
518,login,85
519,development,85
520,Avoid,85
521,ridiculous,84
522,call,84
523,resolve,84
524,tests,84
525,July,84
526,teaching,84
527,expect,84
528,pace,84
529,written,84
530,two,83
531,simply,83
532,institution,83
533,please,83
534,quite,83
535,etc,83
536,peer,82
537,Just,82
538,corporate,82
539,spend,81
540,onto,81
541,Some,81
542,desk,80
543,careful,80
544,Good,80
545,bait,80
546,unable,80
547,discover,80
548,Things,80
549,around,80
550,specific,80
551,virtually,80
552,modern,80
553,detailed,79
554,error,79
555,loss,79
556,fault,78
557,especially,78
558,rest,78
559,designed,78
560,relevant,78
561,MIT,78
562,THE,78
563,Customer,78
564,shady,78
565,college,78
566,SUPPORT,78
567,Business,77
568,policy,77
569,year,77
570,original,77
571,pages,77
572,reached,77
573,wanting,77
574,old,77
575,score,76
576,offers,76
577,accounts,76
578,gave,76
579,enough,76
580,anymore,76
581,truly,76
582,half,75
583,complain,75
584,confirmed,75
585,2019I,75
586,reputation,75
587,approved,75
588,years,75
589,cares,75
590,reality,75
591,feedback,74
592,Don,74
593,marketing,74
594,learner,74
595,Computer,74
596,early,74
597,fix,74
598,instructions,74
599,answers,74
600,Wasted,73
601,direct,73
602,occasion,73
603,rather,73
604,selected,73
605,overwhelming,73
606,Its,73
607,per,73
608,Editing,72
609,report,72
610,respond,72
611,expensive,72
612,hours,72
613,mistake,72
614,horrible,72
615,needs,72
616,250,72
617,Proofreading,72
618,learners,71
619,Bought,71
620,Machine,71
621,lose,71
622,lots,71
623,forever,71
624,That,71
625,otherwise,71
626,Free,71
627,users,70
628,sell,70
629,wish,70
630,subjects,70
631,satisfied,70
632,downloaded,70
633,spending,70
634,listed,70
635,piece,70
636,left,69
637,changed,69
638,ads,69
639,provider,69
640,enrolment,69
641,mine,69
642,easy,68
643,million,68
644,let,68
645,write,68
646,certificates,68
647,NEVER,68
648,structure,68
649,requirements,68
650,submission,68
651,important,68
652,Unacceptable,68
653,Oct,67
654,speed,67
655,actively,67
656,wanted,67
657,recommended,67
658,run,66
659,anyway,66
660,resubmit,66
661,sabotage,66
662,past,66
663,unused,66
664,easier,66
665,stick,66
666,slides,66
667,profit,66
668,frustrating,66
669,add,66
670,level,66
671,answered,66
672,ignored,66
673,method,66
674,removed,65
675,Now,65
676,19,65
677,She,65
678,commuting,65
679,job,64
680,staggering,64
681,refunds,64
682,science,64
683,companies,64
684,Verified,64
685,deadline,64
686,Upon,64
687,BOMBARDED,64
688,Stay,64
689,spam,64
690,upwards,64
691,AGGRESSIVE,64
692,campaigns,64
693,idea,64
694,decipher,64
695,junk,64
696,note,64
697,mail,64
698,coursera,63
699,talk,63
700,saw,63
701,expected,63
702,developing,63
703,100,63
704,advice,63
705,calls,63
706,providing,62
707,move,62
708,photo,62
709,Statistical,62
710,gets,62
711,quickly,62
712,big,62
713,uses,62
714,Design,62
715,towards,62
716,payed,62
717,screenshots,62
718,properly,62
719,product,62
720,processed,62
721,promised,62
722,upon,62
723,As,61
724,teach,61
725,extremely,61
726,forms,61
727,value,61
728,password,61
729,11,61
730,Absolutely,61
731,computer,61
732,Doing,61
733,moment,60
734,included,60
735,machine,60
736,basic,60
737,Video,60
738,wonder,60
739,broken,60
740,pick,60
741,auditing,60
742,info,60
743,place,59
744,Sept,59
745,Jan,59
746,automatic,59
747,GET,59
748,activities,59
749,sites,59
750,mobile,58
751,return,58
752,star,58
753,promotion,58
754,programming,58
755,Unfortunately,58
756,mystic,58
757,messge,58
758,Get,58
759,Instructors,58
760,coding,58
761,continue,58
762,path,58
763,log,58
764,message,58
765,necessary,58
766,side,58
767,plenty,57
768,allows,57
769,Online,57
770,parts,57
771,archived,57
772,whatsoever,57
773,slightly,57
774,statement,57
775,screen,57
776,done,57
777,box,57
778,huge,57
779,collaboration,57
780,solid,57
