,name,institution
126,"Programming Foundations with JavaScript, HTML and CSS",Duke University
127,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem
128,Food & Beverage Management,Università Bocconi
129,Data Analysis with Python,IBM
130,Project Planning,"University of California, Irvine"
131,Agile Meets Design Thinking,University of Virginia
132,AWS Fundamentals: Going Cloud-Native,Amazon Web Services
133,Construction Project Management,Columbia University
134,Introduction to Mathematical Thinking,Stanford University
135,Everyday Parenting: The ABCs of Child Rearing,Yale University
136,Introduction to Healthcare,Stanford University
137,Machine Learning with Python,IBM
138,Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden
139,Data Management for Clinical Research,Vanderbilt University
140,Sustainable Fashion,Copenhagen Business School
141,Foundations of Data Science: K-Means Clustering in Python,University of London
142,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign
143,Cursos en línea: modelo para armar,Universidad Nacional Autónoma de México
144,Modern Art & Ideas,The Museum of Modern Art
145,"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology
146,Essential Google Cloud Infrastructure: Foundation,Google Cloud
147,Introduction to Artificial Intelligence (AI),IBM
148,Dog Emotion and Cognition,Duke University
149,International Leadership and Organizational Behavior,Università Bocconi
150,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam
151,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen
152,Digital Transformation,BCG
153,Sequence Models,DeepLearning.AI
154,Devenir entrepreneur du changement,HEC Paris
155,Seeing Through Photographs,The Museum of Modern Art
156,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania
157,Introduction to Search Engine Optimization,"University of California, Davis"
158,Learn to Speak Korean 1,Yonsei University
159,Circular Economy - Sustainable Materials Management,Delft University of Technology
160,Drug Development,University of California San Diego
161,R Programming,Johns Hopkins University
162,Economics of Money and Banking,Columbia University
163,Chinese for Beginners,Peking University
164,Grammar and Punctuation,"University of California, Irvine"
165,Japanese for beginners 1,Saint Petersburg State University
166,Introduction to English Common Law,University of London
167,Introduction to Dental Medicine,University of Pennsylvania
168,Fundamentals of Reinforcement Learning,Alberta Machine Intelligence Institute
169,The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine"
170,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi
171,Behavioral Finance,Duke University
172,"Sequences, Time Series and Prediction",DeepLearning.AI
173,Supply Chain Logistics,Rutgers the State University of New Jersey
174,Project Execution,"University of California, Irvine"
175,Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México
176,Microeconomics Principles,University of Illinois at Urbana-Champaign
177,Creative Writing: The Craft of Plot,Wesleyan University
178,Astronomy: Exploring Time and Space,University of Arizona
179,Oil & Gas Industry Operations and Markets,Duke University
180,Design Thinking for Innovation,University of Virginia
181,EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh
182,Learn to Program: The Fundamentals,University of Toronto
183,Financial Accounting Fundamentals,University of Virginia
184,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan
185,Understanding Clinical Research: Behind the Statistics,University of Cape Town
186,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill
187,Fashion as Design,The Museum of Modern Art
188,Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder
189,Feminism and Social Justice,"University of California, Santa Cruz"
190,International Organizations Management,University of Geneva
191,Marketing Digital,Universidade de São Paulo
192,Fundamentals of GIS,"University of California, Davis"
193,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign
194,"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder
195,Rethinking International Tax Law,Universiteit Leiden
196,Introduction to Probability and Data with R,Duke University
197,Understanding and Visualizing Data with Python,University of Michigan
198,Fundamentals of Visualization with Tableau,"University of California, Davis"
199,Getting Started with SAS Programming,SAS
200,Machine Learning for All,University of London
201,Using Databases with Python,University of Michigan
202,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University
203,Dino 101: Dinosaur Paleobiology,University of Alberta
204,Sports Marketing,Northwestern University
205,Positive Psychology,The University of North Carolina at Chapel Hill
206,Introduction to Programming with MATLAB,Vanderbilt University
207,Preparing to Manage Human Resources,University of Minnesota
208,Solar Energy Basics,The State University of New York
209,Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology
210,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud
211,Introduction to Forensic Science,"Nanyang Technological University, Singapore"
212,Google Cloud Product Fundamentals,Google Cloud
213,American Contract Law I,Yale University
214,Engineering Health: Introduction to Yoga and Physiology,New York University
215,AI for Medical Diagnosis,DeepLearning.AI
216,Natural Language Processing with Sequence Models,DeepLearning.AI
217,Introduction to Electronics,Georgia Institute of Technology
218,International Humanitarian Law in Theory and Practice,Universiteit Leiden
219,Making Architecture,IE School of Architecture & Design
220,Model Thinking,University of Michigan
221,Supporting children with difficulties in reading and writing,University of London
222,Innovation Management,Erasmus University Rotterdam
223,The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London"
224,"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia
225,Fundamentals of Music Theory,The University of Edinburgh
226,Supply Chain Principles,Georgia Institute of Technology
227,Essential Google Cloud Infrastructure: Core Services,Google Cloud
228,Weight Management: Beyond Balancing Calories,Emory University
229,Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden
230,Java Programming: Solving Problems with Software,Duke University
231,Race and Cultural Diversity in American Life and History,University of Illinois at Urbana-Champaign
232,Inspiring and Motivating Individuals,University of Michigan
233,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona
234,Healing with the Arts,University of Florida
235,People Analytics,University of Pennsylvania
236,What is Social?,Northwestern University
237,UX Design Fundamentals,California Institute of the Arts
238,Creative Thinking: Techniques and Tools for Success,Imperial College London
239,Introduction to Classical Music,Yale University
240,Children's Human Rights - An Interdisciplinary Introduction,University of Geneva
241,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris
242,Introduction to Data Analysis Using Excel,Rice University
243,Mind Control: Managing Your Mental Health During COVID-19,University of Toronto
244,Introduction to International Criminal Law,Case Western Reserve University
245,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania
246,Greek and Roman Mythology,University of Pennsylvania
247,Politics and Economics of International Energy,Sciences Po
248,Continuous Delivery & DevOps,University of Virginia
249,Teach English Now! Foundational Principles,Arizona State University
250,Business Model Innovation,HEC Paris
251,Introduction to User Experience Principles and Processes,University of Michigan
252,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan
253,Process Mining: Data science in Action,Eindhoven University of Technology
254,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University
255,Introduction to Corporate Finance,University of Pennsylvania
256,Global Diplomacy: the United Nations in the World,University of London
257,Algorithmic Toolbox,University of California San Diego
258,Troubles du spectre de l'autisme : diagnostic,University of Geneva
259,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan
260,Unraveling the Cycling City,University of Amsterdam
261,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania
262,English for Business and Entrepreneurship,University of Pennsylvania
263,Natural Language Processing with Attention Models,DeepLearning.AI
264,What is Compliance?,University of Pennsylvania
265,Getting Started with Google Sheets,Google Cloud
266,Data Visualization with Python,IBM
267,Foundations of Mindfulness,Rice University
268,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan
269,Data-driven Decision Making,PwC
270,Fundamentals of Engineering Exam Review,Georgia Institute of Technology
271,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh
272,Managerial Accounting Fundamentals,University of Virginia
273,Search Engine Optimization Fundamentals,"University of California, Davis"
274,Essentials of Global Health,Yale University
275,International Security Management,Erasmus University Rotterdam
276,Getting Started with AWS Machine Learning,Amazon Web Services
277,Arts and Heritage Management,Università Bocconi
278,Understanding Einstein: The Special Theory of Relativity,Stanford University
279,Réussir le Changement,ESSEC Business School
280,Equine Welfare and Management,"University of California, Davis"
281,International migrations: a global issue,Sciences Po
282,Introduction to Web Development,"University of California, Davis"
283,Writing and Editing: Word Choice and Word Order,University of Michigan
284,Introduction to the Digital Advertising Landscape,University of Colorado Boulder
285,Access Controls,(ISC)²
286,Engineering Project Management: Initiating and Planning,Rice University
287,Kotlin for Java Developers,JetBrains
288,Mathematics for Machine Learning: Multivariate Calculus,Imperial College London
289,Introduction to Git and GitHub,Google
290,Industrial Biotechnology,University of Manchester   
291,The Addicted Brain,Emory University
292,Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile
293,Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud
294,Drug Discovery,University of California San Diego
295,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU)
296,Financial Acumen for Non-Financial Managers,University of Pennsylvania
297,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology
298,Bugs 101: Insect-Human Interactions,University of Alberta
299,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk
300,"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan
301,Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign
302,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University
303,Introduction to Spreadsheets and Models,University of Pennsylvania
304,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto
305,Essentials in Clinical Simulations Across the Health Professions,The George Washington University
306,Budgeting and Scheduling Projects,"University of California, Irvine"
307,Machine Learning for Business Professionals,Google Cloud
308,Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign
309,Spanish Vocabulary: Meeting People,"University of California, Davis"
310,Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile
311,Public Policy Challenges of the 21st Century,University of Virginia
312,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden
313,Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania
314,Financing and Investing in Infrastructure,Università Bocconi
315,Global Environmental Management,Technical University of Denmark (DTU)
316,Operations Analytics,University of Pennsylvania
317,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris
318,FinTech Law and Policy,Duke University
319,The Social Context of Mental Health and Illness,University of Toronto
320,What Is Contemporary Art?,The Museum of Modern Art
321,The Art of Music Production,Berklee College of Music
322,Biohacking Your Brain's Health,Emory University
323,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz"
324,Reporting extra-financier et stratégie RSE,ESSEC Business School
325,Leading Healthcare Quality and Safety,The George Washington University
326,Understanding International Relations Theory,National Research University Higher School of Economics
327,Introduction to Data Analytics,IBM
328,Fundamentos de Excel para Negocios,Universidad Austral
329,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud
330,Cultural Competence - Aboriginal Sydney,The University of Sydney
331,Fundamentos de Finanzas Empresariales,Universidad de los Andes
332,Greening the Economy: Sustainable Cities,Lund University
333,Introduction to Engineering Mechanics,Georgia Institute of Technology
334,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney
335,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego
336,Understanding Medical Research: Your Facebook Friend is Wrong,Yale University
337,Health Behavior Change: From Evidence to Action,Yale University
338,Ordered Data Structures,University of Illinois at Urbana-Champaign
339,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University
340,Programming Fundamentals,Duke University
341,Understanding Financial Markets,University of Geneva
342,In the Studio: Postwar Abstract Painting,The Museum of Modern Art
343,Drug Commercialization,University of California San Diego
344,Introduction to Software Product Management,University of Alberta
