,Word,Frequency
0,Udemy,987
1,refund,817
2,money,782
3,review,768
4,time,702
5,certificate,514
6,want,488
7,account,478
8,Original,457
9,support,435
10,good,413
11,learning,395
12,work,387
13,customer,385
14,content,383
15,edX,374
16,service,351
17,take,348
18,free,342
19,videos,335
20,paid,312
21,could,302
22,back,302
23,help,292
24,credit,285
25,go,279
26,online,278
27,recommend,273
28,assignments,269
29,never,259
30,people,257
31,pay,255
32,weeks,255
33,still,255
34,platform,252
35,experience,243
36,use,242
37,learn,235
38,got,230
39,You,225
40,email,224
41,company,224
42,also,224
43,great,224
44,My,221
45,nothing,219
46,video,215
47,make,214
48,knowledge,214
49,think,211
50,well,209
51,start,206
52,said,204
53,days,204
54,tried,203
55,material,200
56,In,199
57,bad,198
58,told,193
59,better,193
60,find,192
61,end,192
62,problem,191
63,website,190
64,instructor,185
65,However,185
66,cannot,184
67,purchased,182
68,since,181
69,every,178
70,see,175
71,able,174
72,So,174
73,feel,173
74,another,171
75,found,167
76,using,167
77,EdX,167
78,give,165
79,problems,163
80,took,163
81,issue,162
82,day,162
83,emails,162
84,price,161
85,completed,161
86,education,161
87,need,161
88,contact,159
89,next,159
90,best,156
91,instructors,156
92,class,156
93,request,154
94,students,153
95,complete,152
96,program,151
97,week,151
98,quality,151
99,scam,150
100,full,150
101,however,149
102,3,146
103,1,145
104,That,145
105,anyone,145
106,documents,144
107,without,144
108,30,143
109,learned,142
110,access,142
111,follow,141
112,Nov,140
113,information,139
114,going,139
115,little,139
116,signed,138
117,times,137
118,taking,137
119,receive,137
120,hard,136
121,Very,136
122,received,134
123,Coursera,134
124,used,134
125,process,132
126,given,131
127,waste,130
128,gift,130
129,No,129
130,But,129
131,business,129
132,needed,129
133,set,129
134,away,128
135,reviews,127
136,things,124
137,reply,124
138,bank,123
139,print,123
140,fact,123
141,questions,122
142,via,122
143,world,121
144,seems,121
145,cancel,120
146,At,120
147,final,119
148,cancelled,119
149,taught,118
150,March,117
151,anything,116
152,though,116
153,answer,115
154,13,115
155,taken,115
156,thing,115
157,absolutely,115
158,bought,114
159,everything,113
160,made,113
161,point,113
162,sent,112
163,udemy,111
164,NO,111
165,available,111
166,often,110
167,went,110
168,know,110
169,4,110
170,correct,110
171,interesting,109
172,overall,109
173,long,109
174,option,108
175,2021I,108
176,Also,107
177,5,106
178,later,106
179,rather,106
180,subscription,106
181,study,105
182,NOT,104
183,switch,104
184,real,104
185,Some,104
186,offer,104
187,decided,103
188,getting,103
189,check,103
190,started,102
191,part,102
192,Read,102
193,previous,101
194,web,101
195,link,101
196,classes,101
197,exercises,101
198,case,101
199,trying,101
200,response,100
201,something,100
202,personally,100
203,Science,100
204,When,99
205,professional,99
206,YouTube,98
207,send,98
208,assignment,97
209,offers,97
210,everyone,97
211,waiting,96
212,feedback,96
213,download,96
214,lectures,96
215,avoid,96
216,quizzes,96
217,always,95
218,provided,95
219,wasted,95
220,Instead,95
221,credits,95
222,spent,94
223,ever,94
224,within,94
225,minute,93
226,practice,93
227,wish,93
228,right,93
229,due,91
230,reason,91
231,exam,91
232,contacted,91
233,try,91
234,tell,90
235,June,90
236,top,90
237,gave,90
238,asking,89
239,edx,89
240,A,89
241,seem,89
242,And,89
243,responded,89
244,multiple,89
245,skills,89
246,several,89
247,notes,89
248,last,89
249,student,89
250,happy,88
251,needs,88
252,someone,88
253,professor,87
254,policy,87
255,After,87
256,99,87
257,truly,87
258,trust,86
259,already,86
260,far,85
261,ago,85
262,action,85
263,wrong,85
264,universities,85
265,useful,85
266,put,84
267,code,84
268,life,84
269,makes,84
270,Harvard,84
271,understand,83
272,read,83
273,technical,83
274,actually,83
275,programming,83
