,Word,Frequency
0,good,1874
1,time,1418
2,money,1345
3,learning,1296
4,review,1192
5,edX,1189
6,Udemy,1042
7,work,1007
8,great,982
9,videos,907
10,certificate,889
11,customer,821
12,support,803
13,learn,791
14,refund,782
15,content,778
16,help,746
17,well,723
18,weeks,719
19,knowledge,700
20,also,691
21,service,690
22,So,666
23,could,664
24,never,645
25,want,638
26,Original,632
27,free,622
28,end,621
29,take,608
30,pay,602
31,assignments,585
32,experience,574
33,platform,573
34,still,564
35,people,557
36,Very,555
37,recommend,552
38,learned,537
39,think,535
40,make,521
41,little,513
42,You,505
43,EdX,495
44,In,495
45,account,493
46,back,489
47,online,483
48,able,482
49,material,482
50,start,477
51,email,475
52,see,475
53,nothing,474
54,education,464
55,company,457
56,need,457
57,video,454
58,complete,454
59,next,453
60,go,448
61,since,447
62,told,444
63,students,439
64,going,438
65,got,437
66,find,437
67,instructor,435
68,paid,427
69,needed,413
70,information,413
71,website,413
72,interesting,408
73,best,401
74,5,400
75,found,399
76,given,399
77,completed,396
78,useful,395
79,problem,394
80,however,393
81,used,393
82,another,384
83,better,383
84,class,374
85,classes,370
86,days,370
87,Coursera,370
88,A,368
89,world,365
90,exercises,364
91,final,362
92,access,362
93,issue,360
94,know,359
95,1,355
96,feel,353
97,trying,351
98,bit,345
99,future,344
100,quality,343
101,bought,343
102,use,343
103,cannot,340
104,times,339
105,taking,339
106,Good,333
107,understand,333
108,answer,332
109,different,326
110,tried,324
111,day,324
112,took,322
113,edx,321
114,real,317
115,happy,316
116,However,316
117,easy,315
118,excellent,310
119,skills,309
120,option,308
121,made,308
122,4,303
123,give,300
124,correct,300
125,study,299
126,reviews,298
127,without,295
128,taken,295
129,thing,294
130,helpful,293
131,full,288
132,questions,287
133,6,286
134,30,286
135,But,285
136,due,284
137,try,281
138,bad,280
139,problems,279
140,receive,278
141,every,278
142,credits,278
143,anything,277
144,clear,276
145,price,274
146,signed,273
147,Great,272
148,Also,271
149,professor,270
150,wrong,269
151,follow,267
152,though,267
153,subject,266
154,professional,266
155,My,265
156,exam,265
157,No,263
158,us,262
159,program,261
160,For,261
161,explained,259
162,Science,258
163,everyone,258
164,two,257
165,assignment,257
166,quizzes,257
167,lectures,256
168,notes,255
169,business,254
170,waste,254
171,read,253
172,emails,252
173,things,252
174,started,252
175,month,251
176,contact,250
177,Thanks,247
178,within,247
179,overall,246
180,test,246
181,available,244
182,lost,243
183,long,242
184,offer,242
185,completely,241
186,universities,241
187,Python,241
188,concepts,240
189,scam,240
190,Some,239
191,part,235
192,love,234
193,absolutely,234
194,something,233
195,extension,232
196,case,232
197,management,232
198,life,231
199,ago,230
200,top,229
201,Learning,228
202,format,228
203,minute,227
204,introduction,227
205,anyone,227
206,point,227
207,programming,227
208,training,226
209,said,224
210,waiting,224
211,nice,224
212,career,224
213,And,223
214,far,221
215,discussion,221
216,using,220
217,English,219
218,Edx,219
219,multiple,217
220,amazing,217
221,makes,217
222,taught,217
223,date,216
224,After,215
225,looking,214
226,basic,214
227,Course,214
228,number,214
229,instructors,211
230,either,211
231,offered,210
232,Harvard,210
233,modules,210
234,hard,210
235,process,209
236,last,209
237,others,209
238,currently,208
239,switch,208
240,week,205
241,later,204
242,getting,204
243,reason,204
244,often,203
245,everything,203
246,buy,202
247,ever,202
248,someone,202
249,YouTube,200
250,provided,200
251,asking,200
252,Please,199
253,assessed,198
254,understanding,198
255,staff,197
256,via,196
257,3,196
258,submit,194
259,gives,193
260,options,193
261,thought,192
262,pace,191
263,yet,190
264,Data,189
265,hours,189
266,highly,188
267,data,188
268,concept,187
269,When,186
270,ones,186
271,technical,185
272,Google,185
273,teaching,184
274,digital,183
275,several,183
276,cancelled,183
277,seem,182
278,example,182
279,contacted,181
280,grading,180
281,sent,180
282,enjoyed,180
283,code,179
284,terms,179
285,teacher,179
286,quite,179
287,explanation,178
288,enrolled,177
289,teachers,176
290,minutes,176
291,phone,175
292,spent,175
293,EDX,174
294,actually,174
295,general,174
296,examples,173
297,least,172
298,longer,172
299,stars,170
300,Thank,169
301,10,167
302,Certificate,167
303,offering,167
304,written,166
305,peer,166
306,throughout,165
307,sense,164
308,worth,163
309,look,163
310,fact,160
311,non,159
312,provide,158
313,maybe,158
314,helped,158
315,enough,157
316,fair,157
317,credit,157
318,become,157
319,second,157
320,response,156
321,twice,156
322,decided,156
323,keep,156
324,received,156
325,At,156
326,Many,156
327,Overall,155
328,liked,155
329,whole,155
330,web,154
331,around,154
332,certification,154
333,angry,153
334,whatever,152
335,issues,152
336,practice,152
337,question,152
338,science,151
339,payment,151
340,Not,150
341,2019I,150
342,instructions,150
343,services,150
344,poor,150
345,coding,149
346,done,149
347,curso,149
348,tests,148
349,amount,148
350,always,147
351,Speaking,147
352,Machine,146
353,needs,146
354,chance,146
355,level,146
356,probably,145
357,reply,145
358,Read,145
359,instead,144
360,easily,144
361,Just,144
362,working,144
363,link,144
364,trial,144
365,Terrible,143
366,learner,143
367,Their,143
368,feedback,143
369,costs,143
370,paying,143
371,unavailable,143
372,useless,142
373,beginners,142
374,15,142
375,expensive,141
376,project,141
377,put,141
378,recommended,141
379,audit,141
380,rest,141
381,avoid,140
382,student,140
383,right,140
384,anyway,140
385,site,140
386,parts,140
387,paper,139
388,Even,139
389,helps,139
390,topics,138
391,pretty,138
392,otherwise,138
393,print,137
394,Introduction,137
395,late,136
396,important,136
397,months,135
398,possible,135
399,wish,135
400,March,134
401,making,134
402,hope,134
403,actual,134
404,enrolment,133
405,kind,133
406,machine,133
407,active,132
408,four,132
409,designed,132
410,definitely,131
411,slides,131
412,care,131
413,expect,131
414,pages,130
415,fine,130
416,answers,130
417,idea,129
418,fault,129
419,MIT,129
420,en,129
421,seen,129
422,deadline,128
423,simple,128
424,talk,128
425,institutions,127
426,platforms,127
427,purchased,126
428,already,126
429,stuff,125
430,modern,125
431,difficult,125
432,details,124
433,improve,124
434,add,124
435,change,124
436,R,122
437,personally,122
438,saying,122
439,practical,122
440,NOT,122
441,structure,122
442,marketing,121
443,specific,121
444,python,121
445,set,121
446,8,120
447,sticky,120
448,certificates,120
449,USD,119
450,various,118
